UCI,MNE
co2a0000364,aud-001
co2a0000365,aud-002
co2a0000368,aud-003
co2a0000369,aud-004
co2a0000370,aud-005
co2a0000371,aud-006
co2a0000372,aud-007
co2a0000375,aud-008
co2a0000377,aud-009
co2a0000378,aud-010
co2a0000379,aud-011
co2a0000380,aud-012
co2a0000381,aud-013
co2a0000382,aud-014
co2a0000384,aud-015
co2a0000385,aud-016
co2a0000386,aud-017
co2a0000387,aud-018
co2a0000388,aud-019
co2a0000390,aud-020
co2a0000392,aud-021
co2a0000394,aud-022
co2a0000395,aud-023
co2a0000396,aud-024
co2a0000398,aud-025
co2a0000400,aud-026
co2a0000402,aud-027
co2a0000403,aud-028
co2a0000404,aud-029
co2a0000405,aud-030
co2a0000406,aud-031
co2a0000407,aud-032
co2a0000409,aud-033
co2a0000410,aud-034
co2a0000411,aud-035
co2a0000412,aud-036
co2a0000414,aud-037
co2a0000415,aud-038
co2a0000416,aud-039
co2a0000417,aud-040
co2a0000418,aud-041
co2a0000419,aud-042
co2a0000421,aud-043
co2a0000422,aud-044
co2a0000423,aud-045
co2a0000424,aud-046
co2a0000425,aud-047
co2a0000426,aud-048
co2a0000427,aud-049
co2a0000428,aud-050
co2a0000429,aud-051
co2a0000430,aud-052
co2a0000432,aud-053
co2a0000433,aud-054
co2a0000434,aud-055
co2a0000435,aud-056
co2a0000436,aud-057
co2a0000437,aud-058
co2a0000438,aud-059
co2a0000439,aud-060
co2a0000440,aud-061
co2a0000443,aud-062
co2a0000444,aud-063
co2a0000445,aud-064
co2a0000447,aud-065
co2c0000337,hcv-066
co2c0000338,hcv-067
co2c0000339,hcv-068
co2c0000340,hcv-069
co2c0000341,hcv-070
co2c0000342,hcv-071
co2c0000344,hcv-072
co2c0000345,hcv-073
co2c0000346,hcv-074
co2c0000347,hcv-075
co2c0000348,hcv-076
co2c0000351,hcv-077
co2c0000352,hcv-078
co2c0000354,hcv-079
co2c0000355,hcv-080
co2c0000356,hcv-081
co2c0000357,hcv-082
co2c0000359,hcv-083
co2c0000362,hcv-084
co2c0000363,hcv-085
co2c0000364,hcv-086
co2c0000367,hcv-087
co2c0000370,hcv-088
co2c0000371,hcv-089
co2c0000373,hcv-090
co2c0000374,hcv-091
co2c0000378,hcv-092
co2c0000379,hcv-093
co2c0000381,hcv-094
co2c0000382,hcv-095
co2c0000383,hcv-096
co2c0000384,hcv-097
co2c0000387,hcv-098
co2c0000388,hcv-099
co2c0000389,hcv-100
co2c0000390,hcv-101
co2c0000391,hcv-102
co2c0000392,hcv-103
co2c0000393,hcv-104
co2c0000394,hcv-105
co2c0000395,hcv-106
co2c0000396,hcv-107
co2c0000397,hcv-108
co2c1000367,hcv-109
co3a0000448,aud-110
co3a0000450,aud-111
co3a0000451,aud-112
co3a0000453,aud-113
co3a0000454,aud-114
co3a0000455,aud-115
co3a0000456,aud-116
co3a0000457,aud-117
co3a0000458,aud-118
co3a0000459,aud-119
co3a0000460,aud-120
co3a0000461,aud-121
co3c0000402,hcv-122
